SEX,COUNTRY,NACE_R2,TIME,UNIT,VALUE
Total,Norway,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3553
Total,Norway,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,5774
Total,Norway,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),3823
Total,Norway,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,5203
Total,Norway,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),3445
Total,Norway,Transportation and storage,2018,Euro,6237
Total,Norway,Transportation and storage,2018,Purchasing power standard (PPS),4130
Total,Norway,Accommodation and food service activities,2018,Euro,3608
Total,Norway,Accommodation and food service activities,2018,Purchasing power standard (PPS),2389
Total,Norway,Information and communication,2018,Euro,6725
Total,Norway,Information and communication,2018,Purchasing power standard (PPS),4453
Total,Norway,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,6379
Total,Norway,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),4223
Total,Norway,Financial and insurance activities,2018,Euro,7525
Total,Norway,Financial and insurance activities,2018,Purchasing power standard (PPS),4983
Total,Norway,Real estate activities,2018,Euro,7005
Total,Norway,Real estate activities,2018,Purchasing power standard (PPS),4638
Total,Norway,Professional scientific and technical activities,2018,Euro,6464
Total,Norway,Professional scientific and technical activities,2018,Purchasing power standard (PPS),4280
Total,Norway,Administrative and support service activities,2018,Euro,4827
Total,Norway,Administrative and support service activities,2018,Purchasing power standard (PPS),3196
Total,Norway,Public administration and defence; compulsory social security,2018,Euro,5538
Total,Norway,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),3667
Total,Norway,Education,2018,Euro,4889
Total,Norway,Education,2018,Purchasing power standard (PPS),3237
Total,Norway,Human health and social work activities,2018,Euro,4980
Total,Norway,Human health and social work activities,2018,Purchasing power standard (PPS),3298
Total,Norway,Arts entertainment and recreation,2018,Euro,4546
Total,Norway,Arts entertainment and recreation,2018,Purchasing power standard (PPS),3010
Total,Norway,Other service activities,2018,Euro,5289
Total,Norway,Other service activities,2018,Purchasing power standard (PPS),3502
Total,Switzerland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,9084
Total,Switzerland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),5824
Total,Switzerland,Industry construction and services (except public administration defense compulsory social security),2018,Euro,9084
Total,Switzerland,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),5824
Total,Switzerland,Business economy,2018,Euro,9630
Total,Switzerland,Business economy,2018,Purchasing power standard (PPS),6174
Total,Switzerland,Industry and construction,2018,Euro,8798
Total,Switzerland,Industry and construction,2018,Purchasing power standard (PPS),5640
Total,Switzerland,Industry (except construction),2018,Euro,8893
Total,Switzerland,Industry (except construction),2018,Purchasing power standard (PPS),5701
Total,Switzerland,Mining and quarrying,2018,Euro,8603
Total,Switzerland,Mining and quarrying,2018,Purchasing power standard (PPS),5515
Total,Switzerland,Manufacturing,2018,Euro,8851
Total,Switzerland,Manufacturing,2018,Purchasing power standard (PPS),5674
Total,Switzerland,Electricity gas steam and air conditioning supply,2018,Euro,9508
Total,Switzerland,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),6095
Total,Switzerland,Water supply; sewerage waste management and remediation activities,2018,Euro,8961
Total,Switzerland,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),5745
Total,Switzerland,Construction,2018,Euro,8402
Total,Switzerland,Construction,2018,Purchasing power standard (PPS),5387
Total,Switzerland,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,9148
Total,Switzerland,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),5865
Total,Switzerland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,9148
Total,Switzerland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),5865
Total,Switzerland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,9355
Total,Switzerland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),5997
Total,Switzerland,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,9797
Total,Switzerland,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),6281
Total,Switzerland,Transportation and storage,2018,Euro,8455
Total,Switzerland,Transportation and storage,2018,Purchasing power standard (PPS),5420
Total,Switzerland,Accommodation and food service activities,2018,Euro,5941
Total,Switzerland,Accommodation and food service activities,2018,Purchasing power standard (PPS),3808
Total,Switzerland,Information and communication,2018,Euro,9829
Total,Switzerland,Information and communication,2018,Purchasing power standard (PPS),6301
Total,Switzerland,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,10398
Total,Switzerland,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),6666
Total,Switzerland,Financial and insurance activities,2018,Euro,11635
Total,Switzerland,Financial and insurance activities,2018,Purchasing power standard (PPS),7459
Total,Switzerland,Real estate activities,2018,Euro,9044
Total,Switzerland,Real estate activities,2018,Purchasing power standard (PPS),5798
Total,Switzerland,Professional scientific and technical activities,2018,Euro,9959
Total,Switzerland,Professional scientific and technical activities,2018,Purchasing power standard (PPS),6385
Total,Switzerland,Administrative and support service activities,2018,Euro,8503
Total,Switzerland,Administrative and support service activities,2018,Purchasing power standard (PPS),5451
Total,Switzerland,Public administration and defence; compulsory social security,2018,Euro,9105
Total,Switzerland,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),5837
Total,Switzerland,Education,2018,Euro,8556
Total,Switzerland,Education,2018,Purchasing power standard (PPS),5485
Total,Switzerland,Human health and social work activities,2018,Euro,7801
