SEX,GEO,SIZECLAS,Value
Males,Germany (until 1990 former territory of the FRG),Public administration and defence; compulsory social security3769
Males,Germany (until 1990 former territory of the FRG),Education; human health and social work activities; arts entertainment and recreation; other service activities,3935
Males,Germany (until 1990 former territory of the FRG),Education,4079
Males,Germany (until 1990 former territory of the FRG),Human health and social work activities,4041
Males,Germany (until 1990 former territory of the FRG),Arts entertainment and recreation,3471
Males,Germany (until 1990 former territory of the FRG),Other service activities,3508
Males,Estonia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1577
Males,Estonia,Industry construction and services (except public administration defense compulsory social security),1573
Males,Estonia,Business economy,1577
Males,Estonia,Industry and construction,1521
Males,Estonia,Industry (except construction),1546
Males,Estonia,Mining and quarrying,1745
Males,Estonia,Manufacturing,1525
Males,Estonia,Electricity gas steam and air conditioning supply,1811
Males,Estonia,Water supply; sewerage waste management and remediation activities,1354
Males,Estonia,Construction,1447
Males,Estonia,Services (except activities of households as employers and extra-territorial organisations and bodies),1617
Males,Estonia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1616
Males,Estonia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1626
Males,Estonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1542
Males,Estonia,Transportation and storage,1391
Males,Estonia,Accommodation and food service activities,1118
Males,Estonia,Information and communication,2459
Males,Estonia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1658
Males,Estonia,Financial and insurance activities,2789
Males,Estonia,Real estate activities,1385
Males,Estonia,Professional scientific and technical activities,2052
Males,Estonia,Administrative and support service activities,1271
Males,Estonia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1578
Males,Estonia,Public administration and defence; compulsory social security1621
Males,Estonia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1546
