"SEX","GEO","INDIC_SE","ISCED11","NACE_R2","TIME","SIZECLAS","UNIT","Value"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","3 976"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 464"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","3 962"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","3 451"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","4 015"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","3 498"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","3 452"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","3 007"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","4 420"
"Males","Belgium","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 850"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1 032"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","1 985"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","1 058"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","2 034"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","1 119"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","2 151"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","910"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","1 749"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","940"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","1 808"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro","1 086"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)","2 088"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","886"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","1 703"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","1 277"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)","2 455"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","738"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)","1 420"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","776"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","1 492"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1 077"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 071"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1 119"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 151"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1 309"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","2 517"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","1 037"
"Males","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","1 994"
